"","farm","visit","Date.COLLECTED","bee_ID","sp","PA","crit_cnt","log10_cnt","Wing_MM","border","nsfcut","sf","log.sum_ast_inflr"
"1","RCUT",1,"7/14/2021",1,"bimac","A",0,0,3.1,NA,3.929424035,NA,3.929424035
"2","RCUT",1,"7/14/2021",2,"bimac","A",0,0,2.29,NA,3.929424035,NA,3.929424035
"3","RCUT",1,"7/14/2021",3,"imp","A",0,0,3.05,NA,3.929424035,NA,3.929424035
"4","RCUT",1,"7/14/2021",4,"imp","P",1,0,2.67,NA,3.929424035,NA,3.929424035
"5","RCUT",1,"7/14/2021",5,"imp","A",0,0,2.45,NA,3.929424035,NA,3.929424035
"6","RCUT",1,"7/15/2021",6,"bimac","A",0,0,2.63,NA,3.929424035,NA,3.929424035
"7","RCUT",1,"7/15/2021",7,"bimac","P",176,2.245512668,3.21,NA,3.929424035,NA,3.929424035
"8","RCUT",1,"7/15/2021",8,"bimac","P",251,2.399673721,2.86,NA,3.929424035,NA,3.929424035
"9","RCUT",1,"7/15/2021",9,"bimac","A",0,0,2.96,NA,3.929424035,NA,3.929424035
"10","RCUT",1,"7/15/2021",10,"bimac","A",0,0,3.28,NA,3.929424035,NA,3.929424035
"11","RCUT",1,"7/15/2021",11,"bimac","P",73,1.86332286,2.68,NA,3.929424035,NA,3.929424035
"12","RCUT",1,"7/15/2021",12,"gris","A",0,0,2.912502,NA,3.929424035,NA,3.929424035
"13","RCUT",1,"7/15/2021",13,"bimac","P",3,0.477121255,3.31,NA,3.929424035,NA,3.929424035
"14","RCUT",1,"7/15/2021",14,"vagans","A",0,0,2.23,NA,3.929424035,NA,3.929424035
"15","RCUT",1,"7/15/2021",15,"bimac","P",187,2.271841607,3.03,NA,3.929424035,NA,3.929424035
"16","RCUT",1,"7/15/2021",16,"gris","A",0,0,3.445688,NA,3.929424035,NA,3.929424035
"17","RCUT",1,"7/15/2021",17,"imp","A",0,0,2.5,NA,3.929424035,NA,3.929424035
"18","RCUT",1,"7/15/2021",18,"bimac","P",180,2.255272505,3.127368,NA,3.929424035,NA,3.929424035
"19","RCUT",1,"7/15/2021",19,"imp","A",0,0,NA,NA,3.929424035,NA,3.929424035
"20","RCUT",1,"7/15/2021",20,"imp","A",0,0,2.61,NA,3.929424035,NA,3.929424035
"21","RCUT",1,"7/15/2021",21,"vagans","P",8,0.903089987,2.41,NA,3.929424035,NA,3.929424035
"22","RCUT",1,"7/15/2021",22,"gris",NA,NA,NA,NA,NA,3.929424035,NA,3.929424035
"23","RCUT",1,"7/15/2021",23,"bimac","P",169,2.227886705,3.405898,NA,3.929424035,NA,3.929424035
"24","RCUT",1,"7/15/2021",24,"gris","P",4,0.602059991,2.992082,NA,3.929424035,NA,3.929424035
"25","RCUT",1,"7/15/2021",25,"gris","P",3,0.477121255,3.191032,NA,3.929424035,NA,3.929424035
"26","RCUT",1,"7/15/2021",26,"imp","P",97,1.986771734,2.58,NA,3.929424035,NA,3.929424035
"27","RCUT",1,"7/15/2021",27,"imp","A",0,0,1.97,NA,3.929424035,NA,3.929424035
"28","RCUT",1,"7/15/2021",28,"bimac","P",72,1.857332496,2.58,NA,3.929424035,NA,3.929424035
"29","RCUT",1,"7/15/2021",29,NA,NA,NA,NA,NA,NA,3.929424035,NA,3.929424035
"30","RCUT",1,"7/15/2021",30,"vagans","P",307,2.487138375,2.55,NA,3.929424035,NA,3.929424035
"31","RCUT",1,"7/15/2021",31,"imp","A",0,0,NA,NA,3.929424035,NA,3.929424035
"32","RCUT",1,"7/15/2021",32,"imp","A",0,0,2.48,NA,3.929424035,NA,3.929424035
"33","RCUT",1,"7/15/2021",33,"vagans","A",0,0,2.56,NA,3.929424035,NA,3.929424035
"34","RCUT",1,"7/15/2021",34,"bimac","P",3,0.477121255,2.928,NA,3.929424035,NA,3.929424035
"35","RCUT",1,"7/15/2021",35,"imp","A",0,0,3.05,NA,3.929424035,NA,3.929424035
"36","RCUT",1,"7/15/2021",36,"imp",NA,NA,NA,NA,NA,3.929424035,NA,3.929424035
"37","RCUT",1,"7/15/2021",37,"imp",NA,NA,NA,NA,NA,3.929424035,NA,3.929424035
"38","RCUT",1,"7/15/2021",38,"imp","P",125,2.096910013,2,NA,3.929424035,NA,3.929424035
"39","RCUT",1,"7/15/2021",39,"gris","A",0,0,3.35,NA,3.929424035,NA,3.929424035
"40","RCUT",1,"7/15/2021",40,"imp","A",0,0,2.25,NA,3.929424035,NA,3.929424035
"41","RCUT",1,"7/15/2021",41,"bimac","P",140,2.146128036,2.507,NA,3.929424035,NA,3.929424035
"42","RCUT",1,"7/15/2021",42,"bimac","P",4,0.602059991,2.68,NA,3.929424035,NA,3.929424035
"43","RCUT",1,"7/15/2021",43,"vagans","P",2,0.301029996,2.485,NA,3.929424035,NA,3.929424035
"44","RCUT",1,"7/15/2021",44,NA,NA,NA,NA,NA,NA,3.929424035,NA,3.929424035
"45","RCON",1,"7/15/2021",45,"bimac","A",0,0,2.471,NA,0,NA,0
"46","RCON",1,"7/15/2021",46,NA,NA,NA,NA,NA,NA,0,NA,0
"47","RCON",1,"7/15/2021",47,"imp","A",0,0,2.672,NA,0,NA,0
"48","RCON",1,"7/15/2021",48,"bimac","P",213,2.328379603,2.965,NA,0,NA,0
"49","RCON",1,"7/15/2021",49,"gris","A",0,0,3.310402,NA,0,NA,0
"50","RCON",1,"7/15/2021",50,"gris","P",140,2.146128036,3.047788,NA,0,NA,0
"51","RCON",1,"7/15/2021",51,"bimac","A",0,0,2.635,NA,0,NA,0
"52","RCON",1,"7/15/2021",52,"imp","A",0,0,2.626,NA,0,NA,0
"53","RCON",1,"7/15/2021",53,"imp","A",0,0,2.564,NA,0,NA,0
"54","RCON",1,"7/15/2021",54,NA,NA,NA,NA,NA,NA,0,NA,0
"55","RCON",1,"7/15/2021",55,"gris","A",0,0,2.745384,NA,0,NA,0
"56","RCON",1,"7/15/2021",56,"gris","P",27,1.431363764,3.286528,NA,0,NA,0
"57","RCON",1,"7/15/2021",57,NA,NA,NA,NA,NA,NA,0,NA,0
"58","RCON",1,"7/15/2021",58,"bimac","A",0,0,2.742,NA,0,NA,0
"59","RCON",1,"7/15/2021",59,"bimac","P",42,1.62324929,1.787,NA,0,NA,0
"60","RCON",1,"7/15/2021",60,"imp","P",178,2.250420002,2.786,NA,0,NA,0
"61","RCON",1,"7/15/2021",61,"imp","A",0,0,2.327,NA,0,NA,0
"62","RCON",1,"7/15/2021",62,"gris","A",0,0,3.246738,NA,0,NA,0
"63","RCON",1,"7/15/2021",63,"imp","A",0,0,2.87,NA,0,NA,0
"64","RCON",1,"7/15/2021",64,"imp","A",0,0,1.742,NA,0,NA,0
"65","RCON",1,"7/15/2021",65,"bimac",NA,NA,NA,NA,NA,0,NA,0
"66","RCON",1,"7/15/2021",66,NA,NA,NA,NA,NA,NA,0,NA,0
"67","RCON",1,"7/15/2021",67,"imp","A",0,0,2.682,NA,0,NA,0
"68","RCON",1,"7/15/2021",68,"gris","P",114,2.056904851,3.525268,NA,0,NA,0
"69","RCON",1,"7/15/2021",69,"imp","A",0,0,2.613,NA,0,NA,0
"70","RCON",1,"7/15/2021",70,"bimac","A",0,0,2.713,NA,0,NA,0
"71","RCON",1,"7/15/2021",71,"imp","P",137,2.136720567,3.031872,NA,0,NA,0
"72","RCON",1,"7/15/2021",72,NA,NA,NA,NA,NA,NA,0,NA,0
"73","RCON",1,"7/15/2021",73,"bimac","P",401,2.603144373,2.834,NA,0,NA,0
"74","RCON",1,"7/15/2021",74,"imp","A",0,0,2.713,NA,0,NA,0
"75","RCON",1,"7/15/2021",75,"gris","P",1,0,3.175116,NA,0,NA,0
"76","RCON",1,"7/15/2021",76,"gris","A",0,0,NA,NA,0,NA,0
"77","RCON",1,"7/15/2021",77,"bimac","P",261,2.416640507,3.03,NA,0,NA,0
"78","RCON",1,"7/15/2021",78,NA,NA,NA,NA,NA,NA,0,NA,0
"79","SIMP",1,"7/19/2021",79,"imp",NA,NA,NA,NA,2.843108142,2.814225392,2.23299611,3.181776915
"80","SIMP",1,"7/19/2021",80,"imp","A",0,0,NA,2.843108142,2.814225392,2.23299611,3.181776915
"81","SIMP",1,"7/19/2021",81,"imp","A",0,0,2.674,2.843108142,2.814225392,2.23299611,3.181776915
"82","SIMP",1,"7/19/2021",82,"imp","A",0,0,2.987,2.843108142,2.814225392,2.23299611,3.181776915
"83","SIMP",1,"7/19/2021",83,"imp","A",0,0,2.617,2.843108142,2.814225392,2.23299611,3.181776915
"84","SIMP",1,"7/19/2021",84,"imp","A",0,0,NA,2.843108142,2.814225392,2.23299611,3.181776915
"85","SIMP",1,"7/19/2021",85,"imp",NA,NA,NA,2.63,2.843108142,2.814225392,2.23299611,3.181776915
"86","SIMP",1,"7/19/2021",86,"imp","A",0,0,2.35,2.843108142,2.814225392,2.23299611,3.181776915
"87","SIMP",1,"7/19/2021",87,"imp","A",0,0,2.318,2.843108142,2.814225392,2.23299611,3.181776915
"88","SIMP",1,"7/19/2021",88,"imp","A",0,0,2.425,2.843108142,2.814225392,2.23299611,3.181776915
"89","SIMP",1,"7/19/2021",89,"imp","A",0,0,2.192,2.843108142,2.814225392,2.23299611,3.181776915
"90","SIMP",1,"7/19/2021",90,"imp","P",83,1.919078092,2.77,2.843108142,2.814225392,2.23299611,3.181776915
"91","SIMP",1,"7/19/2021",91,"imp","A",0,0,2.85,2.843108142,2.814225392,2.23299611,3.181776915
"92","SIMP",1,"7/19/2021",92,"imp","A",0,0,2.519,2.843108142,2.814225392,2.23299611,3.181776915
"93","SIMP",1,"7/19/2021",93,"imp","A",0,0,2.373,2.843108142,2.814225392,2.23299611,3.181776915
"94","SIMP",1,"7/19/2021",94,"imp","A",0,0,2.559,2.843108142,2.814225392,2.23299611,3.181776915
"95","SIMP",1,"7/19/2021",95,"imp",NA,NA,NA,NA,2.843108142,2.814225392,2.23299611,3.181776915
"96","SIMP",1,"7/19/2021",96,"imp",NA,NA,NA,NA,2.843108142,2.814225392,2.23299611,3.181776915
"97","SIMP",1,"7/19/2021",97,"imp","A",0,0,NA,2.843108142,2.814225392,2.23299611,3.181776915
"98","SIMP",1,"7/19/2021",98,"imp","A",0,0,1.693,2.843108142,2.814225392,2.23299611,3.181776915
"99","SIMP",1,"7/19/2021",99,"imp","A",0,0,2.136,2.843108142,2.814225392,2.23299611,3.181776915
"100","SIMP",1,"7/19/2021",100,"imp","A",0,0,2.334,2.843108142,2.814225392,2.23299611,3.181776915
"101","SIMP",1,"7/19/2021",101,"imp","A",0,0,2.782,2.843108142,2.814225392,2.23299611,3.181776915
"102","SIMP",1,"7/19/2021",102,"imp","A",0,0,2.677,2.843108142,2.814225392,2.23299611,3.181776915
"103","SIMP",1,"7/19/2021",103,"imp","A",0,0,2.411,2.843108142,2.814225392,2.23299611,3.181776915
"104","SIMP",1,"7/19/2021",104,"imp",NA,NA,NA,NA,2.843108142,2.814225392,2.23299611,3.181776915
"105","SIMP",1,"7/19/2021",105,"imp","A",0,0,2.748,2.843108142,2.814225392,2.23299611,3.181776915
"106","SIMP",1,"7/19/2021",106,"imp","A",0,0,2.403,2.843108142,2.814225392,2.23299611,3.181776915
"107","SIMP",1,"7/19/2021",107,"imp","A",0,0,2.681,2.843108142,2.814225392,2.23299611,3.181776915
"108","SIMP",1,"7/19/2021",108,"imp","A",0,0,2.372,2.843108142,2.814225392,2.23299611,3.181776915
"109","SIMP",1,"7/19/2021",109,"imp","A",0,0,2.634,2.843108142,2.814225392,2.23299611,3.181776915
"110","SIMP",1,"7/19/2021",110,"imp","A",0,0,2.719,2.843108142,2.814225392,2.23299611,3.181776915
"111","SIMP",1,"7/19/2021",111,"imp","A",0,0,2.491,2.843108142,2.814225392,2.23299611,3.181776915
"112","SIMP",1,"7/19/2021",112,"imp","A",0,0,2.615,2.843108142,2.814225392,2.23299611,3.181776915
"113","SIMP",1,"7/19/2021",113,"imp","A",0,0,2.25,2.843108142,2.814225392,2.23299611,3.181776915
"114","SIMP",1,"7/19/2021",114,"imp","A",0,0,2.118,2.843108142,2.814225392,2.23299611,3.181776915
"115","SIMP",1,"7/19/2021",115,"imp","A",0,0,2.543,2.843108142,2.814225392,2.23299611,3.181776915
"116","SIMP",1,"7/19/2021",116,"imp",NA,NA,NA,2.784,2.843108142,2.814225392,2.23299611,3.181776915
"117","LAUR",1,"7/20/2021",117,"imp","P",28,1.447158031,2.858,NA,4.374707419,NA,4.374707419
"118","LAUR",1,"7/20/2021",118,"imp","A",0,0,2.804,NA,4.374707419,NA,4.374707419
