,farm,date,visit,genus,row_cover,sf_nsfcut_border,cut_border,sum_inflr,log.sum_genus_inflr,tot_sf_nsfcut_border_inflr,log.sum_sf_nsf_border_inflr,tot_cut_or_border_inflr,log.sum_cutborder_inflr,tot_ast_inflr,log.sum_ast_inflr
1,GOLO,7/26/2021,1,ageratum,row,nsfcut,cut,524.4,2.719662683,1033.35,3.014247444,1058.35,3.024629314,1461.55,3.164813677
2,GOLO,7/26/2021,1,centaurea,row,nsfcut,cut,35,1.544068044,1033.35,3.014247444,1058.35,3.024629314,1461.55,3.164813677
3,GOLO,7/26/2021,1,cosmos,row,nsfcut,cut,11,1.041392685,1033.35,3.014247444,1058.35,3.024629314,1461.55,3.164813677
4,GOLO,7/26/2021,1,dahlia,row,nsfcut,cut,16,1.204119983,1033.35,3.014247444,1058.35,3.024629314,1461.55,3.164813677
5,GOLO,7/26/2021,1,eutrochium,row,border,border,403.2,2.605520523,403.2,2.605520523,403.2,2.605520523,1461.55,3.164813677
6,GOLO,7/26/2021,1,helianthus,row,sf,cut,25,1.397940009,25,1.397940009,1058.35,3.024629314,1461.55,3.164813677
7,GOLO,7/26/2021,1,zinnia,row,nsfcut,cut,446.95,2.650258942,1033.35,3.014247444,1058.35,3.024629314,1461.55,3.164813677
8,GOLO,8/11/2021,2,ageratum,row,nsfcut,cut,583.1,2.765743041,1592.1,3.201970342,1626.1,3.21114725,2160.7,3.334594472
9,GOLO,8/11/2021,2,centaurea,row,nsfcut,cut,244.8,2.388811413,1592.1,3.201970342,1626.1,3.21114725,2160.7,3.334594472
10,GOLO,8/11/2021,2,cosmos,row,nsfcut,cut,26,1.414973348,1592.1,3.201970342,1626.1,3.21114725,2160.7,3.334594472
11,GOLO,8/11/2021,2,dahlia,row,nsfcut,cut,66,1.819543936,1592.1,3.201970342,1626.1,3.21114725,2160.7,3.334594472
12,GOLO,8/11/2021,2,eutrochium,cover,border,border,276,2.440909082,534.6,2.728028954,534.6,2.728028954,2160.7,3.334594472
13,GOLO,8/11/2021,2,eutrochium,row,border,border,258.6,2.412628521,534.6,2.728028954,534.6,2.728028954,2160.7,3.334594472
14,GOLO,8/11/2021,2,helianthus,row,sf,cut,34,1.531478917,34,1.531478917,1626.1,3.21114725,2160.7,3.334594472
15,GOLO,8/11/2021,2,zinnia,row,nsfcut,cut,672.2,2.827498508,1592.1,3.201970342,1626.1,3.21114725,2160.7,3.334594472
16,GOLO,8/18/2021,3,ageratum,row,nsfcut,cut,739.3,2.868820706,2326.5,3.366703057,2389.5,3.378307035,2742.5,3.438146636
17,GOLO,8/18/2021,3,centaurea,row,nsfcut,cut,256,2.408239965,2326.5,3.366703057,2389.5,3.378307035,2742.5,3.438146636
18,GOLO,8/18/2021,3,cosmos,row,nsfcut,cut,67,1.826074803,2326.5,3.366703057,2389.5,3.378307035,2742.5,3.438146636
19,GOLO,8/18/2021,3,dahlia,row,nsfcut,cut,70,1.84509804,2326.5,3.366703057,2389.5,3.378307035,2742.5,3.438146636
20,GOLO,8/18/2021,3,erigeron,row,nsfcut,cut,264,2.421603927,2326.5,3.366703057,2389.5,3.378307035,2742.5,3.438146636
21,GOLO,8/18/2021,3,eutrochium,row,border,border,353,2.547774705,353,2.547774705,353,2.547774705,2742.5,3.438146636
22,GOLO,8/18/2021,3,helianthus,row,sf,cut,63,1.799340549,63,1.799340549,2389.5,3.378307035,2742.5,3.438146636
23,GOLO,8/18/2021,3,zinnia,row,nsfcut,cut,930.2,2.968576335,2326.5,3.366703057,2389.5,3.378307035,2742.5,3.438146636
24,LASA,8/12/2021,2,ageratum,row,nsfcut,cut,416,2.619093331,5713.3,3.756887029,6007.3,3.778679321,20719.92222,4.316388121
