Bee_ID,Species,Date COLLECTED,Plant collected on,Farm,PA,Count,Wing_MM,Counter_Inits,Notes,Treatment
1,bimac,7/14/21,borage,RCUT,0,0,,EK,,CUT
2,bimac,7/14/21,borage,RCUT,0,0,,EK,,CUT
3,imp,7/14/21,borage,RCUT,0,0,,EK,,CUT
4,imp,7/14/21,borage,RCUT,1,1,,EK,,CUT
5,imp,7/14/21,borage,RCUT,0,0,,EK,,CUT
6,bimac,7/15/21,zinnia,RCUT,0,0,,EK,,CUT
7,bimac,7/15/21,snapdragon,RCUT,1,176,,EK,,CUT
8,bimac,7/15/21,cerinthe,RCUT,1,251,,EK,,CUT
9,bimac,7/15/21,zinnia,RCUT,0,0,,EK,,CUT
10,bimac,7/15/21,salvia,RCUT,0,0,,EK,,CUT
11,bimac,7/15/21,gomphrena,RCUT,1,73,,EK,,CUT
12,gris,7/15/21,gomphrena,RCUT,0,0,,EK,Check ID again later,CUT
13,bimac,7/15/21,snapdragon,RCUT,1,3,,EK,,CUT
14,vagans,7/15/21,borage,RCUT,0,0,,EK,,CUT
15,bimac,7/15/21,cerinthe,RCUT,1,187,,EK,,CUT
16,gris,7/15/21,snapdragon,RCUT,0,0,,EK,,CUT
17,imp,7/15/21,cerinthe,RCUT,0,0,,EK,,CUT
18,bimac,7/15/21,zinnia,RCUT,1,180,,EK,,CUT
19,imp,7/15/21,borage,RCUT,0,0,,EK,,CUT
20,imp,7/15/21,myosotis,RCUT,0,0,,EK,,CUT
21,vagans,7/15/21,cerinthe,RCUT,1,8,,EK,,CUT
22,gris,7/15/21,snapdragon,RCUT,NA,NA,,EK,Escaped 7-16-21,CUT
23,bimac,7/15/21,cerinthe,RCUT,1,169,,EK,,CUT
24,gris,7/15/21,cerinthe,RCUT,1,4,,EK,,CUT
25,gris,7/15/21,gomphrena,RCUT,1,3,,EK,,CUT
26,imp,7/15/21,zinnia,RCUT,1,97,,EK,,CUT
27,imp,7/15/21,borage,RCUT,0,0,,EK,,CUT
28,bimac,7/15/21,gomphrena,RCUT,1,72,,EK,,CUT
29,NA,7/15/21,NA,RCUT,NA,NA,NA,NA,,CUT
30,vagans,7/15/21,pea,RCUT,1,307,,EK,,CUT
31,imp,7/15/21,snapdragon,RCUT,0,0,,EK,,CUT
