bee_ID,sp,Date COLLECTED,j_date,Plant collected on,farm,visit,PA,crit_cnt,log10_cnt,Wing_MM,Hand_Wing,Counter_Inits,Notes,Treatment
1,bimac,7/14/2021,2021195,borage,RCUT,1,A,0,0,3.1,,EK,,CUT
2,bimac,7/14/2021,2021195,borage,RCUT,1,A,0,0,2.29,,EK,,CUT
3,imp,7/14/2021,2021195,borage,RCUT,1,A,0,0,3.05,,EK,,CUT
4,imp,7/14/2021,2021195,borage,RCUT,1,P,1,0,2.67,,EK,,CUT
5,imp,7/14/2021,2021195,borage,RCUT,1,A,0,0,2.45,,EK,,CUT
6,bimac,7/15/2021,2021196,zinnia,RCUT,1,A,0,0,2.63,,EK,,CUT
7,bimac,7/15/2021,2021196,snapdragon,RCUT,1,P,176,2.245512668,3.21,,EK,,CUT
8,bimac,7/15/2021,2021196,cerinthe,RCUT,1,P,251,2.399673721,2.86,,EK,,CUT
9,bimac,7/15/2021,2021196,zinnia,RCUT,1,A,0,0,2.96,,EK,,CUT
10,bimac,7/15/2021,2021196,salvia,RCUT,1,A,0,0,3.28,,EK,,CUT
11,bimac,7/15/2021,2021196,gomphrena,RCUT,1,P,73,1.86332286,2.68,,EK,,CUT
12,gris,7/15/2021,2021196,gomphrena,RCUT,1,A,0,0,2.912502,3.19,EK,Check ID again later,CUT
13,bimac,7/15/2021,2021196,snapdragon,RCUT,1,P,3,0.477121255,3.31,,EK,,CUT
14,vagans,7/15/2021,2021196,borage,RCUT,1,A,0,0,2.23,,EK,,CUT
15,bimac,7/15/2021,2021196,cerinthe,RCUT,1,P,187,2.271841607,3.03,,EK,,CUT
16,gris,7/15/2021,2021196,snapdragon,RCUT,1,A,0,0,3.445688,3.86,EK,,CUT
17,imp,7/15/2021,2021196,cerinthe,RCUT,1,A,0,0,2.5,,EK,,CUT
18,bimac,7/15/2021,2021196,zinnia,RCUT,1,P,180,2.255272505,3.127368,3.46,EK,,CUT
19,imp,7/15/2021,2021196,borage,RCUT,1,A,0,0,NA,NA,EK,,CUT
20,imp,7/15/2021,2021196,myosotis,RCUT,1,A,0,0,2.61,,EK,,CUT
21,vagans,7/15/2021,2021196,cerinthe,RCUT,1,P,8,0.903089987,2.41,,EK,,CUT
22,gris,7/15/2021,2021196,snapdragon,RCUT,1,NA,NA,NA,NA,,EK,Escaped 7-16-21,CUT
23,bimac,7/15/2021,2021196,cerinthe,RCUT,1,P,169,2.227886705,3.405898,3.81,EK,,CUT
24,gris,7/15/2021,2021196,cerinthe,RCUT,1,P,4,0.602059991,2.992082,3.29,EK,,CUT
25,gris,7/15/2021,2021196,gomphrena,RCUT,1,P,3,0.477121255,3.191032,3.54,EK,,CUT
26,imp,7/15/2021,2021196,zinnia,RCUT,1,P,97,1.986771734,2.58,,EK,,CUT
27,imp,7/15/2021,2021196,borage,RCUT,1,A,0,0,1.97,,EK,,CUT
28,bimac,7/15/2021,2021196,gomphrena,RCUT,1,P,72,1.857332496,2.58,,EK,,CUT
29,NA,7/15/2021,2021196,NA,RCUT,1,NA,NA,NA,NA,,NA,,CUT
30,vagans,7/15/2021,2021196,pea,RCUT,1,P,307,2.487138375,2.55,,EK,,CUT
31,imp,7/15/2021,2021196,snapdragon,RCUT,1,A,0,0,NA,,EK,folded wing,CUT
32,imp,7/15/2021,2021196,gomphrena,RCUT,1,A,0,0,2.48,,EK,,CUT
33,vagans,7/15/2021,2021196,cerinthe,RCUT,1,A,0,0,2.56,,EK,,CUT
34,bimac,7/15/2021,2021196,snapdragon,RCUT,1,P,3,0.477121255,2.928,,EK,large crithidia,CUT
35,imp,7/15/2021,2021196,calendula,RCUT,1,A,0,0,3.05,,EK,double check ID,CUT
36,imp,7/15/2021,2021196,NA,RCUT,1,NA,NA,NA,NA,,EK,male,CUT
37,imp,7/15/2021,2021196,NA,RCUT,1,NA,NA,NA,NA,,EK,male,CUT
38,imp,7/15/2021,2021196,xerochrysum,RCUT,1,P,125,2.096910013,2,,EK,,CUT
39,gris,7/15/2021,2021196,gomphrena,RCUT,1,A,0,0,3.35,,EK,double check ID,CUT
40,imp,7/15/2021,2021196,cerinthe,RCUT,1,A,0,0,2.25,,EK,,CUT
41,bimac,7/15/2021,2021196,zinnia,RCUT,1,P,140,2.146128036,2.507,,EK,,CUT
42,bimac,7/15/2021,2021196,gomphrena,RCUT,1,P,4,0.602059991,2.68,,EK,,CUT
