"","genus","cut_border"
"1","ageratum","cut"
"2","centaurea","cut"
"3","cosmos","cut"
"4","dahlia","cut"
"5","eutrochium","border"
"6","helianthus","cut"
"7","zinnia","cut"
"8","erigeron","cut"
"9","aster","cut"
"10","rudbeckia","border"
"11","rudbeckia","cut"
"12","tanacetum","border"
"13","erigeron","border"
"14","calendula","cut"
"15","silphium","border"
"16","solidago","border"
"17","helichrysum","cut"
"18","helipterum","cut"
"19","tagetes","cut"
"20","xerochrysum","cut"
"21","leucanthemum","cut"
"22","tanacetum","cut"
"23","ammobium","cut"
"24","echinacea","cut"
