date,visit,farm,genus,num_row,row_length,row_cnt,inflr_count,tot_inflr,initials,sf_nsfcut_border,cut_border,row_cover,notes
7/15/2021,1,RCUT,zinnia,1,202,10,85,1717,TK,nsfcut,cut,row,
7/15/2021,1,RCUT,ageratum,1,51,10,40,204,TK,nsfcut,cut,row,
7/15/2021,1,RCUT,tanacetum,1,11.5,5,147,338.1,TK,nsfcut,cut,row,
7/15/2021,1,RCUT,tanacetum,1,13,5,131,340.6,TK,nsfcut,cut,row,
7/15/2021,1,RCUT,tanacetum,1,52.5,5,143,1501.5,LSA,nsfcut,cut,row,
7/15/2021,1,RCUT,tanacetum,1,90.5,5,90,1629,KT,nsfcut,cut,row,
7/15/2021,1,RCUT,tanacetum,1,13,5,110,286,KT,nsfcut,cut,row,
7/15/2021,1,RCUT,helichrysum,1,95,10,31,294.5,KT ,nsfcut,cut,row,possibly xerochrysum?
7/15/2021,1,RCUT,calendula,1,21,5,145,609,LSA,nsfcut,cut,row,
7/15/2021,1,RCUT,calendula,1,18,5,45,162,RY,nsfcut,cut,row,
7/15/2021,1,RCUT,zinnia,1,26,10,16,41.6,RY,nsfcut,cut,row,
7/15/2021,1,RCUT,ageratum,1,11.5,5,27,62.1,RY,nsfcut,cut,row,
7/15/2021,1,RCUT,zinnia,1,7.5,7.5,12,12,RY,nsfcut,cut,row,
7/15/2021,1,RCUT,calendula,1,26,5,70,364,RY,nsfcut,cut,row,
7/15/2021,1,RCUT,calendula,1,24,10,6,14.4,RY,nsfcut,cut,row,
7/15/2021,1,RCUT,cosmos,1,109.5,10,10,109.5,RY,nsfcut,cut,row,
7/15/2021,1,RCUT,tanacetum,1,47,10,42,197.4,TK,nsfcut,cut,row,
7/15/2021,1,RCUT,zinnia,1,19,10,40,76,TK,nsfcut,cut,row,
7/15/2021,1,RCUT,zinnia,1,36,10,7,25.2,TK,nsfcut,cut,row,
7/15/2021,1,RCUT,leucanthemum,1,13,13,69,69,TK,nsfcut,cut,row,not sure about ID
7/15/2021,1,RCUT,calendula,1,59,10,70,413,RY,nsfcut,cut,row,more flowers
7/15/2021,1,RCUT,calendula,1,38,10,9,34.2,RY,nsfcut,cut,row,sparse pollen
7/19/2021,1,SIMP,zinnia,1,68,24,4,11.33333333,TK,nsfcut,cut,row,
7/19/2021,1,SIMP,cosmos,1,46,15,16,49.06666667,TK,nsfcut,cut,row,
7/19/2021,1,SIMP,cosmos,1,60,60,21,21,TK,nsfcut,cut,row,
