"Floral resource COVER CROPS, cut flowers 2021",,,,,"if species or variety not known, write NA",,,,,,,,,,,,,,,,,,,,,,,
Date,"Visit (1, 2)",Farm,Genus,species,"group(border, cut, non aster) ",# areas, dimensions (ft x ft),tot.dim.area,area counted (ft x ft),area.cnt.dim,# infl counted,total,Initials,Notes,,,,,,,,,,,,,,
7/19/21,1,SIMP,echinacea,,cut,1,5x10,50,5x3,15,26,86.66666667,TK,on row crop data sheet,,,,,,,,,,,,,,
7/19/21,1,SIMP,silphiium,,border,2,6x5,30,6x5,30,13,13,SG,on row crop data sheet,,,,,,,,,,,,,,
7/19/21,1,SIMP,silphium,,border,1,43x36,1548,6x5,30,13,670.8,SG,"""wild sunflower in entrance""",,,,,,,,,,,,,,
8/3/21,1,LASA,tanacetum,,border,1,46x9,414,5x9,45,300,2760,RY,wild tanacetum,,,,,,,,,,,,,,
8/9/21,2,RCON,clover,,non_aster,1,616x12,7392,NA,NA,NA,,,cover crop style,,,,,,,,,,,,,,
8/9/21,2,RCON,clover,,non_aster,1,616x44,27104,NA,NA,NA,,,not counting,,,,,,,,,,,,,,
8/9/21,2,RCON,solidago,,border,1,83x20,1660,4x5,20,16,1328,,patchy distribution/ 10% solidago of the total area. Need to figure out how to calculate,,,,,,,,,,,,,,
8/10/21,3,RCUT,solidago,,border,1,75x45,3375,5x3,15,276,62100,,along border in patches,,,,,,,,,,,,,,
8/10/21,3,RCUT,solidago,,border,1,40x5,200,5x3,15,276,3680,,,,,,,,,,,,,,,,
8/11/21,2,GOLO,eutrochium,,border,2,18x5,90,3x5,15,23,138,RY,whole stalk counted,,,,,,,,,,,,,,
8/4/21,2,SIMP,silphium,perfoliatum,border,1,70x9,630,11.5x5,57.5,130,1424.347826,RY,,,,,,,,,,,,,,,
8/4/21,2,SIMP,silphium,perfoliatum,border,1,11.5x5,57.5,11.5x5,57.5,130,130,RY,,,,,,,,,,,,,,,
8/12/21,2,LASA,tanacetum,,border,1,10x65,650,3x3,9,154,11122.22222,SG/EK,"bumblebees on flowers, border of farm",,,,,,,,,,,,,,
8/16/21,3,SIMP,silphium,,border,1,70x9,630,11.5x5,57.5,195,2136.521739,SG,,,,,,,,,,,,,,,
8/16/21,3,SIMP,silphium,,border,1,11.5x5,57.5,11.5x5,57.5,195,195,SG,,,,,,,,,,,,,,,
8/19/21,3,LASA,tanacetum,,border,1,10x63,630,3x3,9,95,6650,KT,wild tanacetum,,,,,,,,,,,,,,
8/19/21,3,LAUR,silphium,,border,1,49x17,833,253x6p,253x6p,1518,1518,EK/RY,nb: p represents patch,,,,,,,,,,,,,,
8/19/21,3,LAUR,silphium,,border,1,6,6,253x3p,253x3p,759,759,EK/RY,nb: p represents patch,,,,,,,,,,,,,,
8/19/21,3,LAUR,silphium,,border,1,10,10,21x8p,21x8p,63,63,EK/RY,nb: p represents patch,,,,,,,,,,,,,,
8/19/21,3,LAUR,silphium,,border,1,12,12,21x9p,21x9p,189,189,EK/RY,nb: p represents patch,,,,,,,,,,,,,,
8/19/21,3,LAUR,silphium,,border,1,12,12,10x21p,10x21p,210,210,EK/RY,nb: p represents patch,,,,,,,,,,,,,,
8/19/21,3,LAUR,silphium,,border,1,7,7,18x15p,18x15p,270,270,EK/RY,nb: p represents patch,,,,,,,,,,,,,,
8/19/21,3,LAUR,silphium,,border,1,160x15,2400,10,10,75,18000,EK/RY,,,,,,,,,,,,,,,
8/19/21,3,LAUR,solidago,,border,2,39,39,5,5,11,85.8,TK,one stalk with floresence =1,,,,,,,,,,,,,,
8/19/21,3,LAUR,solidago,,border,1,13,13,5,5,27,70.2,TK,along the road,,,,,,,,,,,,,,
8/19/21,3,LAUR,solidago,,border,1,73x10,730,9,9,25,2027.777778,TK,towards field plot,,,,,,,,,,,,,,
8/19/21,3,LAUR,silphium,,border,1,24x5,120,9,9,14,186.6666667,TK,,,,,,,,,,,,,,,
8/19/21,3,LAUR,silphium,,border,1,20,20,5,5,27,108,TK,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
